Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
200809,428912,435506,2,13-Mar-09,842,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Bus or coach (17 or more passenger seats)
200809,428912,435506,2,13-Mar-09,842,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,50,Bus or coach (17 or more passenger seats)
203109,437077,435233,3,13-Mar-09,2245,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,25,Car
205309,430001,434153,2,13-Mar-09,945,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Taxi/Private hire car
208009,420858,433408,1,13-Mar-09,1531,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,85,Bus or coach (17 or more passenger seats)
209309,428058,426559,2,13-Mar-09,1345,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
209309,428058,426559,2,13-Mar-09,1345,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Car
211909,432574,438455,2,13-Mar-09,2000,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Car
217709,429468,433305,2,13-Mar-09,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,72,Car
256409,420582,444897,2,13-Mar-09,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,69,Car
256409,420582,444897,2,13-Mar-09,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
202509,430408,435808,2,14-Mar-09,830,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
202609,421937,443972,2,14-Mar-09,2330,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Driver,Slight,Male,30,Car
202609,421937,443972,2,14-Mar-09,2330,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Driver,Slight,Female,20,Car
202609,421937,443972,2,14-Mar-09,2330,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Passenger,Slight,Male,26,Car
206009,428922,429813,2,14-Mar-09,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,18,Car
212609,422202,433961,2,14-Mar-09,1550,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,73,Car
207209,436176,427380,2,15-Mar-09,1445,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,53,Motorcycle over 500cc
211409,427906,432902,2,15-Mar-09,1805,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 50cc and up to 125cc
212409,427749,436151,2,15-Mar-09,2130,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Pedal cycle
214609,443331,435487,3,15-Mar-09,1115,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Car
214609,443331,435487,3,15-Mar-09,1115,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
256909,423707,434338,2,15-Mar-09,1615,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
256909,423707,434338,2,15-Mar-09,1615,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,37,Car
199509,426231,438111,2,16-Mar-09,746,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,40,Car
201409,423564,433905,1,16-Mar-09,114,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,41,Car
207309,430982,433150,2,16-Mar-09,1234,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
211309,426284,435579,2,16-Mar-09,2245,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,29,Car
211309,426284,435579,2,16-Mar-09,2245,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car
213109,427287,433625,1,16-Mar-09,2050,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Motorcycle over 500cc
213109,427287,433625,1,16-Mar-09,2050,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,16,Motorcycle over 500cc
214109,424127,444004,3,16-Mar-09,1245,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
214109,424127,444004,3,16-Mar-09,1245,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Goods vehicle 3.5 tonnes mgw and under
214309,434895,433429,2,16-Mar-09,1630,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,65,Pedal cycle
218309,431511,436760,2,16-Mar-09,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,38,Pedal cycle
221609,445317,431687,1,16-Mar-09,1755,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,29,Motorcycle over 500cc
211609,440849,429211,1,17-Mar-09,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,14,Car
212109,430020,434152,1,17-Mar-09,1800,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,26,Car
214809,424850,443299,2,17-Mar-09,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,87,Car
215409,424473,433641,1,17-Mar-09,1800,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
215409,424473,433641,1,17-Mar-09,1800,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,37,Car
216409,428608,432896,7,17-Mar-09,1550,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,20,Car
218009,433059,435032,1,17-Mar-09,2008,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,11,Car
224209,430821,426514,3,17-Mar-09,928,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
227409,433180,434013,2,17-Mar-09,2240,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,62,Car
233909,420071,434138,2,17-Mar-09,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,41,Car
217009,426298,433230,2,18-Mar-09,2110,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 50cc and up to 125cc
225209,428062,435957,2,18-Mar-09,1135,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,65,Pedal cycle
234109,438077,427405,2,18-Mar-09,1245,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
234109,438077,427405,2,18-Mar-09,1245,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under
214709,425040,433179,2,19-Mar-09,1425,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
218109,426621,428768,2,19-Mar-09,1235,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
218609,429560,423127,1,19-Mar-09,514,Motorway,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,28,Car
218709,433008,435564,1,19-Mar-09,33,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car
219009,430436,431155,2,19-Mar-09,1552,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Motorcycle over 500cc
219509,435653,436500,2,19-Mar-09,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
222909,429243,433843,2,19-Mar-09,1650,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
222909,429243,433843,2,19-Mar-09,1650,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,19,Pedal cycle
223309,434802,428891,2,19-Mar-09,2205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
223309,434802,428891,2,19-Mar-09,2205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,44,Car
223309,434802,428891,2,19-Mar-09,2205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car
223909,431499,425082,4,19-Mar-09,1605,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,27,Car
223909,431499,425082,4,19-Mar-09,1605,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
223909,431499,425082,4,19-Mar-09,1605,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,38,Car
283409,427164,433573,2,19-Mar-09,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,31,Car
223709,423013,437656,2,20-Mar-09,1312,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 125cc and up to 500cc
225009,430787,435294,2,20-Mar-09,905,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,47,Pedal cycle
225109,425923,437955,1,20-Mar-09,1855,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,28,Bus or coach (17 or more passenger seats)
227309,427896,436196,2,20-Mar-09,1100,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Motorcycle over 50cc and up to 125cc
229109,431192,433709,2,20-Mar-09,705,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,58,Car
222009,426057,436183,1,21-Mar-09,1445,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Bus or coach (17 or more passenger seats)
222609,427096,434808,2,21-Mar-09,1325,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
224509,431524,434995,2,21-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
224509,431524,434995,2,21-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
225709,442248,443245,1,21-Mar-09,535,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Serious,Male,21,Car
235809,433357,428847,1,21-Mar-09,505,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,22,Other Vehicle 
235809,433357,428847,1,21-Mar-09,505,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,22,Other Vehicle 
224009,440131,432359,3,22-Mar-09,1240,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
224009,440131,432359,3,22-Mar-09,1240,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,65,Car
253709,429396,431351,2,22-Mar-09,2050,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,41,Car
255909,430865,434188,2,22-Mar-09,1445,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
256809,440588,448695,2,22-Mar-09,1300,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,19,Motorcycle over 50cc and up to 125cc
231509,436441,434699,1,23-Mar-09,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,60,Car
228009,430090,431300,2,24-Mar-09,1004,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
237209,430232,436107,2,24-Mar-09,1755,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,35,Motorcycle over 500cc
234409,427942,426450,2,25-Mar-09,1655,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,18,Car
234409,427942,426450,2,25-Mar-09,1655,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,54,Car
236309,429057,433657,2,25-Mar-09,1437,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,Bus or coach (17 or more passenger seats)
236309,429057,433657,2,25-Mar-09,1437,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
236609,427946,436111,1,25-Mar-09,1918,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,47,Car
237309,432027,435882,2,25-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,42,Car
237309,432027,435882,2,25-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
237309,432027,435882,2,25-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,16,Car
237309,432027,435882,2,25-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
237309,432027,435882,2,25-Mar-09,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,44,Car
237509,430990,433469,1,25-Mar-09,1305,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,32,Bus or coach (17 or more passenger seats)
241509,430851,434104,2,25-Mar-09,1330,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,Taxi/Private hire car
250409,428763,434065,4,25-Mar-09,1813,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,Car
250409,428763,434065,4,25-Mar-09,1813,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,18,Minibus (8 – 16 passenger seats)
250409,428763,434065,4,25-Mar-09,1813,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car
261609,437515,433188,2,25-Mar-09,735,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,43,Car
236009,430013,430966,1,26-Mar-09,1700,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
236909,430027,433362,1,26-Mar-09,1000,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,44,Car
240909,431252,433804,2,26-Mar-09,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,51,Taxi/Private hire car
240909,431252,433804,2,26-Mar-09,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Taxi/Private hire car
240909,431252,433804,2,26-Mar-09,1845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,6,Taxi/Private hire car
241709,439139,447070,2,26-Mar-09,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,32,Car
242209,434621,441226,2,26-Mar-09,1840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,48,Car
245209,428098,436386,2,26-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,18,Car
247109,424249,428209,2,26-Mar-09,1730,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
247109,424249,428209,2,26-Mar-09,1730,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,22,Car
247109,424249,428209,2,26-Mar-09,1730,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,5,Car
247109,424249,428209,2,26-Mar-09,1730,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
257109,420311,445745,2,26-Mar-09,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,39,Car
344809,428777,435282,1,26-Mar-09,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Car
344809,428777,435282,1,26-Mar-09,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
237009,428096,434522,2,27-Mar-09,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Pedal cycle
242009,436500,434035,3,27-Mar-09,1020,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver,Slight,Female,75,Car
242009,436500,434035,3,27-Mar-09,1020,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,49,Car
256709,426456,435795,1,27-Mar-09,735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
257509,428469,435198,2,27-Mar-09,1918,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
257509,428469,435198,2,27-Mar-09,1918,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Car
258809,428913,434797,1,27-Mar-09,2044,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,21,Car
258809,428913,434797,1,27-Mar-09,2044,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,20,Car
241209,430205,431982,1,28-Mar-09,930,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Bus or coach (17 or more passenger seats)
241409,430370,433485,1,28-Mar-09,1344,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,14,Bus or coach (17 or more passenger seats)
244509,430537,433450,2,28-Mar-09,225,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,30,Taxi/Private hire car
244509,430537,433450,2,28-Mar-09,225,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,31,Taxi/Private hire car
245509,440422,447903,3,28-Mar-09,1155,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,47,Car
245509,440422,447903,3,28-Mar-09,1155,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,22,Car
245509,440422,447903,3,28-Mar-09,1155,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,11,Car
245509,440422,447903,3,28-Mar-09,1155,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,55,Car
250809,429908,436997,2,28-Mar-09,1715,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver,Slight,Male,40,Car
250809,429908,436997,2,28-Mar-09,1715,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,40,Car
250809,429908,436997,2,28-Mar-09,1715,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Male,29,Car
250809,429908,436997,2,28-Mar-09,1715,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Male,35,Car
244009,424551,433725,1,29-Mar-09,130,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,46,Taxi/Private hire car
257809,426954,432284,1,29-Mar-09,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,13,Car
264409,428403,424596,2,29-Mar-09,400,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,33,Taxi/Private hire car
344909,433251,437527,2,29-Mar-09,1602,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,17,Motorcycle over 125cc and up to 500cc
258309,437761,433087,1,30-Mar-09,1355,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,60,Car
251509,435106,433513,1,31-Mar-09,730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Bus or coach (17 or more passenger seats)
253409,429691,433788,2,31-Mar-09,1443,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle
253509,427925,437242,2,31-Mar-09,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,13,Pedal cycle
254009,426426,433925,1,31-Mar-09,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,15,Motorcycle over 50cc and up to 125cc
257609,424643,433557,2,31-Mar-09,1150,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,33,Car
257609,424643,433557,2,31-Mar-09,1150,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,68,Car
258009,428347,429533,2,31-Mar-09,1600,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,12,Pedal cycle
259109,422293,436825,2,31-Mar-09,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,20,Car
262109,430654,434558,2,31-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,35,Taxi/Private hire car
262109,430654,434558,2,31-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,25,Car
262109,430654,434558,2,31-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,45,Car
262109,430654,434558,2,31-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,48,Taxi/Private hire car
262109,430654,434558,2,31-Mar-09,2350,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,46,Taxi/Private hire car
258509,432524,433755,2,01-Apr-09,834,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,22,Car
258509,432524,433755,2,01-Apr-09,834,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
258509,432524,433755,2,01-Apr-09,834,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,9,Car
258509,432524,433755,2,01-Apr-09,834,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
258609,429201,438471,1,01-Apr-09,1855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,48,Motorcycle over 50cc and up to 125cc
260209,427094,432827,1,01-Apr-09,845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,6,Car
257909,430389,434209,2,02-Apr-09,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,56,Car
258909,422813,428224,2,02-Apr-09,716,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Car
259209,435247,434842,2,02-Apr-09,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,Pedal cycle
259909,431204,434750,2,02-Apr-09,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car
261109,434516,432798,1,02-Apr-09,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,Car
261809,422711,434732,2,02-Apr-09,2000,B,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,56,Motorcycle over 125cc and up to 500cc
261809,422711,434732,2,02-Apr-09,2000,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,30,Motorcycle over 125cc and up to 500cc
262609,424424,435278,1,02-Apr-09,1636,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,61,Bus or coach (17 or more passenger seats)
262709,429158,435213,2,02-Apr-09,2225,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
262709,429158,435213,2,02-Apr-09,2225,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Car
262709,429158,435213,2,02-Apr-09,2225,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,24,Car
262709,429158,435213,2,02-Apr-09,2225,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,45,Car
262709,429158,435213,2,02-Apr-09,2225,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,38,Car
265109,424560,444252,2,02-Apr-09,2310,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,65,Car
265109,424560,444252,2,02-Apr-09,2310,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,55,Car
270309,430333,426440,4,02-Apr-09,824,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
270309,430333,426440,4,02-Apr-09,824,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,23,Car
264509,428836,426353,1,03-Apr-09,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,Car
264709,431235,432323,2,03-Apr-09,1706,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Motorcycle over 500cc
265909,424120,431609,1,03-Apr-09,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
268109,429890,434730,2,03-Apr-09,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,9,Pedal cycle
259409,429001,433557,2,04-Apr-09,1125,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,59,Motorcycle over 500cc
259409,429001,433557,2,04-Apr-09,1125,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,59,Motorcycle over 500cc
264309,431650,436116,2,04-Apr-09,1640,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Serious,Female,12,Pedal cycle
265309,431196,435478,1,04-Apr-09,1945,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,Car
265609,418805,442399,1,04-Apr-09,2130,Unclassified,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,20,Car
279109,428929,432001,3,04-Apr-09,952,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Pedal cycle
286609,429310,435026,1,04-Apr-09,1815,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,26,Car
308509,421577,436000,2,04-Apr-09,1520,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,46,Motorcycle over 500cc
263409,436205,436839,2,05-Apr-09,1940,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,24,Car
263409,436205,436839,2,05-Apr-09,1940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
263409,436205,436839,2,05-Apr-09,1940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
263409,436205,436839,2,05-Apr-09,1940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
263409,436205,436839,2,05-Apr-09,1940,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,21,Car
264209,430329,433329,1,05-Apr-09,140,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Minibus (8 – 16 passenger seats)
