Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,
130153910,438939,426895,1,13-Apr-13,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,5,Car
130154314,425097,434943,1,13-Apr-13,2350,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,3,Pedestrian,Slight,Male,43,Taxi/Private hire car
130154326,425208,440806,1,14-Apr-13,1242,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,8,Bus or coach (17 or more passenger seats)
130154335,440338,448107,2,13-Apr-13,1938,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,3,Pedestrian,Serious,Male,23,Bus or coach (17 or more passenger seats)
130155713,429455,434903,2,15-Apr-13,1135,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Car
130156074,428427,428828,2,15-Apr-13,1505,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,31,Car
130156225,427394,427462,2,15-Apr-13,1715,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,6,Pedal cycle
130156332,430794,433460,1,15-Apr-13,1608,A,Dry,Daylight: street lights present,Fine with high winds,2,Passenger,Slight,Female,27,Minibus (8 – 16 passenger seats)
130156364,421918,432965,2,15-Apr-13,1638,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,32,Car
130156364,421918,432965,2,15-Apr-13,1638,B,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Car
130156398,433844,434056,2,15-Apr-13,1536,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,19,Car
130156398,433844,434056,2,15-Apr-13,1536,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,32,Car
130157270,430798,433447,1,14-Apr-13,430,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,19,Car
130157394,428199,435024,2,15-Apr-13,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Car
130157401,426020,427776,2,13-Apr-13,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,43,Car
130157729,430431,433862,2,16-Apr-13,1625,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,9,Car
130157810,429519,434863,2,16-Apr-13,1610,A,Dry,Daylight: street lights present,Fine with high winds,2,Passenger,Slight,Female,42,Bus or coach (17 or more passenger seats)
130158892,427474,426329,2,16-Apr-13,1415,Motorway,Dry,Daylight: street lights present,Fine with high winds,1,Driver,Slight,Female,21,Car
130159263,432071,433350,2,16-Apr-13,2030,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,15,Pedal cycle
130159405,428906,435510,2,17-Apr-13,1750,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,42,Pedal cycle
130159701,430287,425101,2,17-Apr-13,2125,A,Dry,Darkness: street lighting unknown,Fine with high winds,1,Driver,Slight,Male,19,Car
130159741,424153,434668,3,17-Apr-13,2110,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,1,Driver,Serious,Male,37,Motorcycle over 50cc and up to 125cc
130159924,428376,434054,2,18-Apr-13,633,A,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,1,Driver,Slight,Male,35,Pedal cycle
130160003,436858,433637,2,18-Apr-13,750,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Car
130160028,428432,428629,3,18-Apr-13,725,A,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Car
130160028,428432,428629,3,18-Apr-13,725,A,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,24,Car
130160077,431415,441326,2,18-Apr-13,858,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,30,Car
130161006,439176,432448,2,18-Apr-13,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,37,Motorcycle over 125cc and up to 500cc
130161021,430937,433968,2,18-Apr-13,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,34,Car
130161021,430937,433968,2,18-Apr-13,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,27,Car
130161021,430937,433968,2,18-Apr-13,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,23,Car
130161062,429149,433851,2,18-Apr-13,1709,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,26,Motorcycle over 50cc and up to 125cc
130161597,431085,440491,2,19-Apr-13,800,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,61,Car
130161818,428993,429895,1,19-Apr-13,1010,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,47,Car
130161953,431132,431913,2,19-Apr-13,830,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,22,Car
130162402,436487,437136,3,19-Apr-13,1340,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,79,Car
130162568,432147,436121,2,19-Apr-13,1345,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,64,Car
130162663,422445,428348,3,19-Apr-13,1842,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,26,Car
130162663,422445,428348,3,19-Apr-13,1842,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,46,Car
130162702,423524,437385,2,19-Apr-13,1916,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
130163137,435498,425921,2,19-Apr-13,1335,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,45,Car
130164069,427936,436131,2,20-Apr-13,1911,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,21,Pedal cycle
130164328,427891,434380,1,20-Apr-13,2125,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,21,Car
130164453,429500,435408,1,21-Apr-13,350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,23,Car
130164488,423474,434030,2,20-Apr-13,1104,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,18,Motorcycle over 50cc and up to 125cc
130165089,417961,444522,3,21-Apr-13,1508,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,62,Car
130165089,417961,444522,3,21-Apr-13,1508,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,51,Car
130165089,417961,444522,3,21-Apr-13,1508,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,24,Car
130165216,440977,431352,2,21-Apr-13,1740,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,32,Pedal cycle
130165302,423259,437521,2,21-Apr-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Fatal,Female,70,Car
130165302,423259,437521,2,21-Apr-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,79,Car
130165302,423259,437521,2,21-Apr-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,37,Car
130165425,433303,425958,2,21-Apr-13,1741,A,Dry,Darkness: street lighting unknown,Fine without high winds,3,Pedestrian,Slight,Male,17,Car
130165702,429720,423490,1,21-Apr-13,1329,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,43,Car
130166158,434828,438008,2,22-Apr-13,750,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Pedal cycle
130166603,431019,433800,2,22-Apr-13,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,55,Car
130166800,443101,440637,2,22-Apr-13,1813,A(M),Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,24,Car
130166866,424247,433950,2,22-Apr-13,1900,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,27,Car
130167265,428544,434269,2,22-Apr-13,2045,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,22,Car
130167265,428544,434269,2,22-Apr-13,2045,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Car
130167265,428544,434269,2,22-Apr-13,2045,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,22,Car
130167265,428544,434269,2,22-Apr-13,2045,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,25,Car
130167641,435942,433594,2,23-Apr-13,824,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
130167641,435942,433594,2,23-Apr-13,824,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Car
130167747,428796,435573,2,22-Apr-13,1400,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,19,Pedal cycle
130167846,432189,445000,2,22-Apr-13,714,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,41,Motorcycle over 50cc and up to 125cc
130167846,432189,445000,2,22-Apr-13,714,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,51,Motorcycle over 125cc and up to 500cc
130168044,431786,435001,1,23-Apr-13,1311,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,27,Car
130168327,431975,433594,2,23-Apr-13,1555,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats)
130168327,431975,433594,2,23-Apr-13,1555,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,72,Bus or coach (17 or more passenger seats)
130168368,427154,432527,2,23-Apr-13,1522,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
130168485,427793,434428,2,23-Apr-13,1800,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,29,Motorcycle over 125cc and up to 500cc
130168519,435082,432669,1,22-Apr-13,2145,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Female,18,Car
130168519,435082,432669,1,22-Apr-13,2145,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Female,18,Car
130169220,426321,428140,1,23-Apr-13,1126,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,65,Bus or coach (17 or more passenger seats)
130169996,429169,431938,2,24-Apr-13,1615,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,88,Car
130170048,426229,431779,2,24-Apr-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Car
130170211,429600,434675,1,24-Apr-13,2038,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,28,Bus or coach (17 or more passenger seats)
130170211,429600,434675,1,24-Apr-13,2038,A,Dry,Darkness: street lighting unknown,Fine without high winds,3,Pedestrian,Slight,Male,25,Bus or coach (17 or more passenger seats)
130170247,434811,425880,2,24-Apr-13,1445,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
130170534,430892,436563,2,23-Apr-13,1055,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Pedal cycle
130171301,430766,435229,1,25-Apr-13,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,67,Bus or coach (17 or more passenger seats)
130171525,421116,434852,2,19-Apr-13,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,15,Car
130171674,420769,440206,2,24-Apr-13,1735,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
130171848,428584,427864,1,24-Apr-13,2048,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,22,Car
130171991,420187,443054,1,24-Apr-13,2125,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,19,Car
130172169,430148,432839,2,25-Apr-13,2115,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,39,Car
130172520,431087,430291,3,26-Apr-13,845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,23,Car
130172737,442188,445533,1,25-Apr-13,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,47,Car
130172882,433671,429617,2,26-Apr-13,1310,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,57,Motorcycle over 500cc
130172906,430831,435501,2,26-Apr-13,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
130173096,430422,433331,2,27-Apr-13,322,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,20,Car
130173269,431410,426460,3,26-Apr-13,1623,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,20,Car
130173269,431410,426460,3,26-Apr-13,1623,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Car
130173508,428189,434479,2,26-Apr-13,1513,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,61,Car
130174210,440880,432083,2,27-Apr-13,1000,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Pedal cycle
130174228,420326,445614,2,27-Apr-13,1020,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,67,Car
130174228,420326,445614,2,27-Apr-13,1020,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,46,Motorcycle over 500cc
130174228,420326,445614,2,27-Apr-13,1020,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Slight,Female,69,Car
130174271,429416,433838,2,24-Apr-13,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,30,Car
130174271,429416,433838,2,24-Apr-13,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,30,Car
130174360,430628,433450,1,27-Apr-13,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,87,Goods vehicle 3.5 tonnes mgw and under
130174492,425944,438104,2,26-Apr-13,2245,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,38,Motorcycle over 500cc
130174492,425944,438104,2,26-Apr-13,2245,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,27,Motorcycle over 500cc
130174728,433250,435590,2,27-Apr-13,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,28,Motorcycle over 500cc
130174728,433250,435590,2,27-Apr-13,1720,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Serious,Female,30,Motorcycle over 500cc
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Car
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,42,Goods vehicle 3.5 tonnes mgw and under
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,23,Car
130174829,429355,433754,2,27-Apr-13,1927,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,25,Car
130174931,430739,435553,2,27-Apr-13,1805,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,7,Pedal cycle
130175683,425927,435126,2,26-Apr-13,1800,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,34,Car
130175805,427986,435214,1,28-Apr-13,1423,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,23,Car
130176045,436154,434717,2,27-Apr-13,2051,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,54,Car
130176630,428717,435610,2,28-Apr-13,2103,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,24,Pedal cycle
130176926,430654,434684,3,28-Apr-13,1745,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,24,Car
130179173,434174,433457,1,29-Apr-13,740,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,1,Car
130179198,432664,438146,3,30-Apr-13,1435,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Car
130179325,436082,434484,2,29-Apr-13,750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,47,Car
130179361,428134,435422,2,30-Apr-13,1730,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,27,Motorcycle over 125cc and up to 500cc
130180474,426069,435587,1,30-Apr-13,1620,B,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,91,Bus or coach (17 or more passenger seats)
130180990,428502,426067,2,01-May-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,66,Motorcycle over 50cc and up to 125cc
130180990,428502,426067,2,01-May-13,1820,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,17,Motorcycle over 50cc and up to 125cc
130181266,426562,426718,2,01-May-13,2210,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,18,Pedal cycle
130181667,429282,433489,2,02-May-13,735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
130181674,422008,444745,2,02-May-13,755,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,48,Pedal cycle
130182471,432052,430290,1,02-May-13,1600,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,22,Car
130182487,420676,445078,5,02-May-13,1435,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,44,Car
130182487,420676,445078,5,02-May-13,1435,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,51,Car
130182487,420676,445078,5,02-May-13,1435,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,23,Car
130182797,429832,438889,2,02-May-13,2039,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,49,Motorcycle over 50cc and up to 125cc
130182899,427984,435224,2,02-May-13,2235,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,27,Pedal cycle
130183115,419870,438909,2,03-May-13,610,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,25,Motorcycle over 50cc and up to 125cc
130183330,425061,433369,2,29-Apr-13,1715,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,56,Pedal cycle
130183442,427568,435909,1,02-May-13,1100,B,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,60,Car
130183458,428224,435783,2,02-May-13,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,17,Pedal cycle
130184365,431519,435143,2,02-May-13,1710,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,44,Pedal cycle
130184381,432112,436040,2,03-May-13,1815,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,26,Pedal cycle
130184420,435095,434725,2,03-May-13,1845,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,19,Car
130184420,435095,434725,2,03-May-13,1845,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,46,Car
130184420,435095,434725,2,03-May-13,1845,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,24,Car
130185233,440554,431998,2,03-May-13,2020,B,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Female,25,Car
130185681,429242,433845,2,02-May-13,1010,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,Pedal cycle
130185686,424207,428258,2,04-May-13,1741,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,67,Car
130185686,424207,428258,2,04-May-13,1741,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Serious,Male,78,Car
130186179,429915,434257,3,01-May-13,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
130186405,420227,445716,1,03-May-13,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,76,Car
130187966,436861,433688,2,06-May-13,1420,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,28,Pedal cycle
130188026,436154,427986,1,06-May-13,1755,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,19,Motorcycle over 500cc
130188063,420316,439710,3,06-May-13,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,27,Car
130188063,420316,439710,3,06-May-13,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Car
130188063,420316,439710,3,06-May-13,1515,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,60,Car
130188063,420316,439710,3,06-May-13,1515,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,21,Car
130189362,431139,434949,1,07-May-13,1707,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,3,Pedestrian,Serious,Female,29,Car
130189562,430023,434826,2,07-May-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,35,Car
130189562,430023,434826,2,07-May-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,16,Car
130189562,430023,434826,2,07-May-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,26,Car
130189562,430023,434826,2,07-May-13,1810,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,15,Car
130189928,430807,435371,2,01-May-13,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,56,Car
130190263,420932,439494,2,07-May-13,810,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Pedal cycle
130190828,431919,435758,1,08-May-13,1317,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,87,Bus or coach (17 or more passenger seats)
130191012,430416,428107,1,08-May-13,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,65,Car
130191105,422464,434654,3,08-May-13,1815,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,25,Car
130191474,435330,439398,2,09-May-13,153,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,1,Driver,Slight,Female,18,Car
130191474,435330,439398,2,09-May-13,153,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,1,Driver,Slight,Male,49,Taxi/Private hire car
130191474,435330,439398,2,09-May-13,153,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,2,Passenger,Slight,Female,19,Car
130191474,435330,439398,2,09-May-13,153,Unclassified,Dry,Darkness: street lights present but unlit,Fine without high winds,2,Passenger,Slight,Male,23,Car
130191784,442909,441824,3,09-May-13,755,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,51,Car
130191808,426513,435654,2,09-May-13,715,B,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,50,Pedal cycle
130192228,431069,430383,1,09-May-13,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,36,Pedal cycle
130192228,431069,430383,1,09-May-13,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,90,Pedal cycle
130192625,430387,437884,2,09-May-13,1425,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,27,Car
130192809,430795,433221,2,09-May-13,1842,A,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
130193329,431327,435045,2,10-May-13,735,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Pedal cycle
130193705,426801,438024,2,10-May-13,1150,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Motorcycle over 50cc and up to 125cc
130193765,431884,435291,1,10-May-13,1110,Unclassified,Dry,Daylight: street lights present,Raining without high winds,3,Pedestrian,Slight,Female,45,Car
130193874,430916,428613,1,10-May-13,1310,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,43,Motorcycle over 50cc and up to 125cc
130193941,432962,439237,2,09-May-13,1130,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Car
130194383,430089,431274,2,10-May-13,1915,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Female,37,Car
130194383,430089,431274,2,10-May-13,1915,A,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,34,Car
130194463,418601,442209,3,10-May-13,1740,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,38,Car
130195631,427674,434006,2,11-May-13,950,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,40,Pedal cycle
130195788,420306,434226,2,11-May-13,1720,A,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,49,Motorcycle over 500cc
130195818,432664,437990,2,11-May-13,1920,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,9,Car
130195818,432664,437990,2,11-May-13,1920,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Slight,Male,6,Car
130197133,420670,440985,1,11-May-13,2248,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,19,Car
130197580,431324,435044,2,13-May-13,755,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Pedal cycle
130197781,426821,434971,2,13-May-13,750,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,24,Pedal cycle
130198406,431492,435899,2,05-May-13,1330,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,93,Car
